             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2901109    normal bond_bre  jjg9482 PD       0:00      2 (Priority)
           2905140    normal lost_war  jjg9482 PD       0:00      2 (Priority)
           1818436     short  AAO_i75  jjg9482 PD       0:00      1 (Priority)
           1820124     short  ABI_i75  jjg9482 PD       0:00      1 (Priority)
           1884633     short 5129fb7c  jjg9482 PD       0:00      1 (Priority)
           1816738     short   M2_i75  jjg9482 PD       0:00      1 (Priority)
           1875350     short e443df78  jjg9482 PD       0:00      1 (Priority)
           1884841     short 0870e15c  jjg9482 PD       0:00      1 (Priority)
           1819597     short  ABE_i73  jjg9482 PD       0:00      1 (Priority)
           1883633     short 1759edc3  jjg9482 PD       0:00      1 (Priority)
           1818676     short  AAS_i73  jjg9482 PD       0:00      1 (Priority)
           1817060     short  AAB_i73  jjg9482 PD       0:00      1 (Priority)
           1816906     short   M4_i74  jjg9482 PD       0:00      1 (Priority)
           1819379     short  ABC_i73  jjg9482 PD       0:00      1 (Priority)
           1816308     short   L1_i74  jjg9482 PD       0:00      1 (Priority)
           1882933     short a0116be5  jjg9482 PD       0:00      1 (Priority)
           1819954     short  ABF_i73  jjg9482 PD       0:00      1 (Priority)
           1819227     short  ABA_i73  jjg9482 PD       0:00      1 (Priority)
           1818994     short  AAW_i73  jjg9482 PD       0:00      1 (Priority)
           1820523     short  ABN_i73  jjg9482 PD       0:00      1 (Priority)
           1817142     short  AAD_i75  jjg9482 PD       0:00      1 (Priority)
           1883753     short e005b860  jjg9482 PD       0:00      1 (Priority)
           1883536     short 247a8333  jjg9482 PD       0:00      1 (Priority)
           1880496     short 5a921187  jjg9482 PD       0:00      1 (Priority)
           1875040     short eb1167b3  jjg9482 PD       0:00      1 (Priority)
           1818084     short  AAJ_i72  jjg9482 PD       0:00      1 (Priority)
           1878404     short 259f4329  jjg9482 PD       0:00      1 (Priority)
           1875566     short 1846d424  jjg9482 PD       0:00      1 (Priority)
           1883443     short 38c1962e  jjg9482 PD       0:00      1 (Priority)
           1875207     short f7c1bd87  jjg9482 PD       0:00      1 (Priority)
           1884486     short 1775336d  jjg9482 PD       0:00      1 (Priority)
           1883107     short d3fbf47a  jjg9482 PD       0:00      1 (Priority)
           1820760     short  ABP_i72  jjg9482 PD       0:00      1 (Priority)
           1875463     short 23a7711a  jjg9482 PD       0:00      1 (Priority)
           1819305     short  ABB_i74  jjg9482 PD       0:00      1 (Priority)
           1876686     short fcbd04c3  jjg9482 PD       0:00      1 (Priority)
           1884056     short 552f233a  jjg9482 PD       0:00      1 (Priority)
           1818270     short  AAL_i75  jjg9482 PD       0:00      1 (Priority)
           1819152     short  AAZ_i75  jjg9482 PD       0:00      1 (Priority)
           1880696     short a3f2c9bf  jjg9482 PD       0:00      1 (Priority)
           1816577     short   L4_i75  jjg9482 PD       0:00      1 (Priority)
           1884221     short 3405095c  jjg9482 PD       0:00      1 (Priority)
           1883327     short 101fbccc  jjg9482 PD       0:00      1 (Priority)
           1881112     short 85776e9a  jjg9482 PD       0:00      1 (Priority)
           1816408     short   L2_i74  jjg9482 PD       0:00      1 (Priority)
           1880272     short 5487ce1e  jjg9482 PD       0:00      1 (Priority)
           1820407     short  ABM_i75  jjg9482 PD       0:00      1 (Priority)
           1816827     short   M3_i74  jjg9482 PD       0:00      1 (Priority)
           1820687     short  ABO_i74  jjg9482 PD       0:00      1 (Priority)
           1820282     short  ABL_i73  jjg9482 PD       0:00      1 (Priority)
           2197598     short dimeriza  jjg9482 PD       0:00      1 (Priority)
           1884737     short 2f120554  jjg9482 PD       0:00      1 (Priority)
           1884386     short 8c1745a7  jjg9482 PD       0:00      1 (Priority)
           1883848     short 7d41e602  jjg9482 PD       0:00      1 (Priority)
           1817226     short  AAE_i75  jjg9482 PD       0:00      1 (Priority)
           1883227     short baf3897a  jjg9482 PD       0:00      1 (Priority)
           1883951     short 4a84eb03  jjg9482 PD       0:00      1 (Priority)
           1881293     short eb2083e6  jjg9482 PD       0:00      1 (Priority)
           1880883     short 8d723104  jjg9482 PD       0:00      1 (Priority)
           1818758     short  AAT_i75  jjg9482 PD       0:00      1 (Priority)
           2916441     short nbf_L3_i  jjg9482 PD       0:00      1 (Priority)
           2916436     short nbf_L2_i  jjg9482 PD       0:00      1 (Priority)
           2916427     short nbf_L1_i  jjg9482 PD       0:00      1 (Priority)
           2916442     short nbf_L3_i  jjg9482 PD       0:00      1 (Dependency)
           2916437     short nbf_L2_i  jjg9482 PD       0:00      1 (Dependency)
           2916434     short nbf_L1_i  jjg9482 PD       0:00      1 (Dependency)
           2197863     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197861     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197858     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197854     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197851     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197847     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197845     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197841     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197838     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197834     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197830     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197829     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197828     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197826     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197825     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197822     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197820     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197816     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197813     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197812     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197811     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197809     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197806     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197803     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197801     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197798     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197794     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197790     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197789     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197787     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197783     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197781     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197779     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197777     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197776     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197775     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197774     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197773     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197772     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197770     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197767     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197765     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197760     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197756     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197752     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197749     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197745     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197742     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197739     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197734     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197729     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197727     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197722     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197720     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197717     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197713     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197711     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197709     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197708     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197707     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197706     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197705     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197704     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197703     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197702     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197700     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197699     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197697     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197695     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197691     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197687     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197685     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197681     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197677     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197675     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197674     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197672     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197670     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197667     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197663     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197661     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197659     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197657     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197654     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197652     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197649     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197648     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197645     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197644     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197640     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197638     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197636     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197632     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197630     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197626     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197624     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197622     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197619     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197617     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197615     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197611     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197609     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197606     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197603     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197601     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           1884850     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884849     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884848     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884847     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884845     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884844     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884843     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884742     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884741     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884740     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884739     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884738     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884646     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884645     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884644     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884642     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884640     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884637     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884635     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884506     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884505     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
